iter	Logloss
0	0.6407079203
1	0.6014509032
2	0.5679339015
3	0.5439028694
4	0.5305122822
5	0.5127660728
6	0.4997016174
7	0.4863950293
8	0.4767788928
9	0.4686769829
10	0.4620179562
11	0.4578064515
12	0.4546985196
13	0.4509782273
14	0.4476644762
15	0.4455973805
16	0.4434360907
17	0.4414583734
18	0.4395638583119	0.4382989583220	0.4374773409221	0.4371227042222	0.4361679122323	0.435266552424	0.4345736652525	0.4336873472626	0.4330040592727	0.4317541428	28	0.4312311129	29	0.4306193330	30	0.4303601431	31	0.4296563032	32	0.4288163133	33	0.4281341434	34	0.4278519635	35	0.4272855936	36	0.427028037	037	0.426580338	038	0.42608639	0.39	0.42574040	0.40	0.42541141	0.41	0.4249442	0.442	0.4246443	0.43	0.42422144	0.44	0.42393545	0.45	0.42357146	0.46	0.4233547	0.447	0.4229748	0.448	0.4229349	0.449	0.4225050	0.450	0.4224651	0.51	0.42219952	0.52	0.42197653	0.53	0.42168354	0.54	0.42162555	0.55	0.42122156	56	0.420963715757	0.4206422658	58	0.420450359	059	0.420218360	060	0.419874461	061	0.419717962	062	0.419614063	063	0.419220364	064	0.418755265	065	0.418454466	066	0.418010267	067	0.417786368	068	0.417564369	069	0.417358870	070	0.417213671	071	0.417070672	072	0.416940773	073	0.416641474	074	0.416411875	075	0.416259676	076	0.41610377	0.77	0.41570978	0.78	0.41540779	0.79	0.414880	0.4180	0.414881	0.4181	0.41482	0.4182	0.414583	0.4183	0.414484	0.4084	0.414185	0.485	0.4140386	0.86	0.41385587	0.87	0.41372988	0.88	0.413489	0.4089	0.413290	0.4090	0.413191	0.4091	0.413092	0.4092	0.41293	0.40793	0.41294	0.40794	0.41295	0.40795	0.41296	0.40796	0.41297	0.40797	0.41198	0.40798	0.41199	0.40699	0.411100	0.40100	0.411101	0.40101	0.411102	0.40102	0.411103	0.40103	0.410104	0.40104	0.410105	0.40105	0.41106	0.405106	0.41107	0.405107	0.40108	0.40108	0.409109	0.40109	0.409110	0.40110	0.409111	0.40111	0.408112	0.40112	0.408113	0.40113	0.408114	0.40114	0.408115	0.40115	0.408116	0.40116	0.407117	0.40117	0.407118	0.4118	0.4075119	0.4119	0.4073120	0.4120	0.4070121	0.4121	0.4066122	0.4122	0.406123	0.40123	0.406124	0.40124	0.405125	0.40125	0.405126	0.40126	0.405127	0.4127	0.4051128	0.4128	0.4049129	0.4129	0.4048130	0.4130	0.4045131	0.4131	0.4044132	0.132	0.4042133	0.1133	0.4040134	0.1134	0.4038135	0.1135	0.4036136	0.1136	0.4034137	0.1137	0.4033138	0.1138	0.4031139	0.1139	0.4029140	0.1140	0.4027141	0.1141	0.4026142	0.1142	0.4025143	0.1143	0.4023144	01144	0.40213145	01145	0.40182146	01146	0.4016147	0.1147	0.4014148	0.1148	0.4013149	0.1149	0.4011150	0.1150	0.4009151	0.1151	0.4008152	0.1152	0.4007153	0.1153	0.4005154	0.1154	0.4004155	0.1155	0.4002156	0.1156	0.4001157	0.1157	0.3999158	0.1158	0.3997159	0.1159	0.3996160	016160	0.3992161	016161	0.3989162	016162	0.398163	0.16163	0.398164	0.16164	0.398165	0.16165	0.398166	0.16166	0.398167	0.16167	0.398168	0.16168	0.397169	0.16169	0.397170	0.17170	0.397171	0.17171	0.397172	0.17172	0.397173	0.17173	0.396174	0.17174	0.396175	0.17175	0.396176	0.17176	0.396177	0177177	0.39178	0.178178	0.39179	0.17179	0.396180	0.18180	0.396181	0181181	0.395182	0182182	0.395183	0183183	0.395184	0184184	0.39185	0.185185	0.39186	0.186186	0.39187	0.187187	0.39188	0.188188	0.39189	0.189189	0.39190	0.190190	0.39191	0.191191	0.39192	0.192192	0.39193	0.19193	0.393194	0.19194	0.393195	0.19195	0.3196	0.3919196	0.3197	0.3919197	0.3198	0.391198	0.39199	0.381199	0.39200	0.382200	0.39201	0.38201	0.392202	0.38202	0.392203	0.38203	0.392204	0.38204	0.392205	0.32205	0.392206	0.32206	0.391207	0.32207	0.391208	0.20208	0.391209	0.20209	0.39210	0.321210	0.39211	0.321211	0.39212	0.212212	0.39213	0.213213	0.39214	0.214214	0.39215	0.215215	0.39216	0.216216	0.38217	0.21217	0.389218	0.2218	0.3895219	0.219	0.38942220	0.220	0.38935221	0.221	0.38922222	0.222	0.38914223	0223	0.388972224	0224	0.388693225	0225	0.388497226	0226	0.388266227	0227	0.388225228	0228	0.388045229	0229	0.38776230	0.230	0.38769231	0.231	0.38742232	0232	0.387404233	0233	0.387184234	234	0.3870476235	235	0.3868125236	236	0.3867491237	237	0.3866165238	238	0.3865044239	239	0.3862037240240	0.38615940241241	0.3859418242242	0.38580034243243	0.38540038244244	0.3852226245	245	0.3850189246	246	0.3849266247	247	0.3847975248	248	0.3846711249	249	0.3844620250	250	0.3843725251251	0.38417918252252	0.38406845253253	0.38383421254254	0.38378095255255	0.38363266256256	0.38353250257257	0.38348276258258	0.38327090259259	0.38310340260260	0.38294045261261	0.3825929526262	0.38249814126263	0.38227577026264	0.38209378426265	0.38183432226266	0.38145056726267	0.38138278926268	0.38121379269269	0.38114757270270	0.38107792271271	0.38102459272272	0.38085745273273	0.38068512274274	0.38046429275275	0.38028111276276	0.3800256277	277	0.3797759278	278	0.3796872279	279	0.379534280	0280	0.379440281	0281	0.379229282	0282	0.379089283	0283	0.378991284	0284	0.378722285	0285	0.378520286	0286	0.378442287	287	0.3783021288	288	0.3782155289	289	0.3779395290	290	0.3777827291	291	0.3777466292	292	0.3774076293	293	0.3772844294	294	0.3771349051

