iter	Passed	Remaining
0	33	6685
1	51	5130
2	69	4637
3	88	4396
4	107	4250
5	127	4181
6	139	3898
7	160	3922
8	180	3894
9	201	3881
10	218	3807
11	236	3767
12	253	3709
13	271	3666
14	288	3611
15	305	3566
16	327	3587
17	347	3567
18	367	3556
19	386	3538
20	405	3512
21	423	3487
22	441	3451
23	460	3436
24	479	3416
25	500	3404
26	510	3328
27	537	3357
28	562	3372
29	598	3449
30	629	3493
31	669	3577
32	715	3685
33	747	3717
34	778	3734
35	793	3678
36	822	3691
37	849	3689
38	873	3671
39	893	3642
40	920	3639
41	945	3625
42	974	3624
43	980	3543
44	1000	3511
45	1034	3530
46	1073	3563
47	1307	4221
48	1510	4746
49	1778	5441
50	2243	6685
51	2572	7469
52	2617	7408
53	2998	8272
54	3356	9031
55	3818	10023
56	4181	10709
57	4389	10973
58	4639	11322
59	4825	11500
60	4980	11593
61	5048	11481
62	5258	11686
63	5383	11691
64	5408	11481
65	5459	11332
66	5486	11136
67	5512	10944
68	5530	10740
69	5549	10543
70	5567	10350
71	5612	10211
72	5642	10048
73	5680	9902
74	5739	9795
75	5769	9640
76	5805	9499
77	5837	9355
78	5867	9208
79	5874	9032
80	5918	8914
81	5961	8797
82	5993	8664
83	6016	8522
84	6038	8382
85	6061	8245
86	6078	8104
87	6096	7967
88	6115	7833
89	6142	7712
90	6186	7613
91	6219	7503
92	6249	7392
93	6274	7276
94	6297	7159
95	6321	7045
96	6351	6940
97	6377	6832
98	6401	6724
99	6431	6624
100	6458	6522
101	6484	6420
102	6508	6319
103	6532	6218
104	6558	6120
105	6579	6020
106	6601	5922
107	6621	5824
108	6641	5727
109	6664	5634
110	6697	5550
111	6740	5476
112	6769	5391
113	6797	5306
114	6821	5219
115	6843	5132
116	6869	5049
117	6895	4966
118	6921	4885
119	6942	4801
120	6974	4726
121	6998	4646
122	7023	4567
123	7043	4487
124	7065	4408
125	7086	4330
126	7106	4252
127	7126	4175
128	7149	4100
129	7172	4027
130	7196	3955
131	7235	3891
132	7271	3827
133	7296	3757
134	7325	3690
135	7347	3619
136	7369	3550
137	7392	3481
138	7414	3413
139	7435	3346
140	7454	3277
141	7477	3212
142	7517	3154
143	7557	3096
144	7595	3038
145	7629	2978
146	7659	2917
147	7690	2857
148	7723	2798
149	7759	2741
150	7794	2684
151	7827	2626
152	7860	2568
153	7882	2508
154	7904	2447
155	7930	2389
156	7953	2330
157	7977	2271
158	7998	2213
159	8016	2154
160	8040	2097
161	8067	2041
162	8094	1986
163	8120	1931
164	8144	1875
165	8174	1822
166	8201	1768
167	8233	1715
168	8259	1661
169	8282	1607
170	8304	1554
171	8329	1501
172	8354	1448
173	8378	1396
174	8400	1344
175	8433	1293
176	8457	1242
177	8482	1191
178	8511	1141
179	8535	1090
180	8557	1040
181	8581	990
182	8604	940
183	8633	891
184	8661	842
185	8688	794
186	8714	745
187	8738	697
188	8760	648
189	8782	600
190	8806	553
191	8828	505
192	8850	458
193	8873	411
194	8894	364
195	8915	318
196	8935	272
197	8957	226
198	8978	180
199	9000	135
200	9020	89
201	9039	44
202	9062	0
